ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTFULLNAME,FLAG,WORTH,YEAR_BIRTH,name,age,city
10351.0,34.0,59.37,3.0,2018.58,12/3/2004,Shipped,Qui_4,12.0,2004.0,Planes,68.0,S24_3949,Office Supplies,Pencil,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,Unknown,London,,WX3 6FW,UK,EMEA,Brown,Ann,Small,Brown Ann,CHEAP,GOOD,1968.0,,,
10305.0,28.0,100.0,12.0,3155.04,10/13/2004,Shipped,Qui_4,10.0,2004.0,Trucks and Buses,96.0,S32_1268,Office Supplies,Eraser,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Unknown,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,Hernandez Marta,EXPENSIVE,GOOD,1971.0,,,
10195.0,27.0,100.0,5.0,5128.11,11/25/2003,Shipped,Qui_4,11.0,2003.0,Classic Cars,163.0,S18_2238,Furniture,Table,Mini Classics,9145554562,3758 North Pendale Street,Unknown,White Plains,NY,24067,USA,,Frick,Steve,Medium,Frick Steve,EXPENSIVE,GOOD,1994.0,,,
10324.0,38.0,100.0,6.0,6832.02,11/5/2004,Shipped,Qui_4,11.0,2004.0,Vintage Cars,50.0,S18_4668,Furniture,Cabinet,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Medium,Frick Michael,EXPENSIVE,GOOD,1992.0,,,
10358.0,49.0,55.34,5.0,2711.66,12/10/2004,Shipped,Qui_4,12.0,2004.0,Classic Cars,151.0,S12_3148,Furniture,Desk,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,Freyre Diego,CHEAP,GOOD,1997.0,,,
10287.0,36.0,39.65,6.0,1427.4,8/30/2004,Shipped,Qui_3,8.0,2004.0,Classic Cars,37.0,S24_2972,Office Supplies,Eraser,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Unknown,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Small,Holz Michael,CHEAP,GOOD,1988.0,,,
10159.0,41.0,100.0,2.0,8296.35,10/10/2003,Shipped,Qui_4,10.0,2003.0,Classic Cars,194.0,S12_1099,Furniture,Bookshelf,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Unknown,San Francisco,CA,,USA,,Brown,Julie,Large,Brown Julie,EXPENSIVE,GOOD,1988.0,,,
10369.0,42.0,100.0,1.0,4581.36,1/20/2005,Shipped,Qui_1,1.0,2005.0,Vintage Cars,101.0,S18_2949,Furniture,Desk,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Unknown,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium,Nelson Allen,EXPENSIVE,GOOD,1989.0,,,
10266.0,29.0,100.0,7.0,4812.55,7/6/2004,Shipped,Qui_3,7.0,2004.0,Classic Cars,169.0,S18_3232,Furniture,Table,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Unknown,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Medium,Moroni Maurizio,EXPENSIVE,GOOD,1994.0,,,
10346.0,26.0,95.88,6.0,2492.88,11/29/2004,Shipped,Qui_4,11.0,2004.0,Classic Cars,107.0,S24_3432,Office Supplies,Lamp,Signal Gift Stores,7025551838,8489 Strong St.,Unknown,Las Vegas,NV,83030,USA,,King,Sue,Small,King Sue,EXPENSIVE,GOOD,1985.0,,,
10224.0,38.0,58.44,1.0,2220.72,2/21/2004,Shipped,Qui_1,2.0,2004.0,Motorcycles,62.0,S18_3782,Furniture,Bookshelf,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Unknown,Lille,,59000,France,EMEA,Rance,Martine,Small,Rance Martine,CHEAP,GOOD,1996.0,,,
10186.0,26.0,100.0,9.0,3854.24,11/14/2003,Shipped,Qui_4,11.0,2003.0,Classic Cars,136.0,S10_4757,Furniture,Desk,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,Unknown,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,Hardy Thomas,EXPENSIVE,GOOD,1963.0,,,
10217.0,21.0,100.0,3.0,2244.9,2/4/2004,Shipped,Qui_1,2.0,2004.0,Trucks and Buses,96.0,S32_1268,Office Supplies,Eraser,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Small,Victorino Wendy,EXPENSIVE,GOOD,1988.0,,,
10194.0,39.0,54.94,7.0,2142.66,11/25/2003,Shipped,Qui_4,11.0,2003.0,Trucks and Buses,64.0,S32_3522,Office Supplies,Lamp,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Unknown,Lyon,,69004,France,EMEA,Saveley,Mary,Small,Saveley Mary,CHEAP,GOOD,1977.0,,,
10182.0,44.0,69.84,12.0,3072.96,11/12/2003,Shipped,Qui_4,11.0,2003.0,Classic Cars,71.0,S18_4933,Furniture,Table,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Unknown,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,Nelson Valarie,EXPENSIVE,GOOD,1988.0,,,
10291.0,37.0,50.59,14.0,1871.83,9/8/2004,Shipped,Qui_3,9.0,2004.0,Vintage Cars,62.0,S18_2957,Furniture,Desk,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Unknown,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Small,Larsson Maria,CHEAP,GOOD,1964.0,,,
10212.0,41.0,82.31,3.0,3374.71,1/16/2004,Shipped,Qui_1,1.0,2004.0,Classic Cars,73.0,S24_1046,Office Supplies,Pencil,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,Freyre Diego,EXPENSIVE,GOOD,1967.0,,,
10338.0,45.0,100.0,2.0,5526.45,11/22/2004,Shipped,Qui_4,11.0,2004.0,Vintage Cars,105.0,S18_3856,Furniture,Desk,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Unknown,Charleroi,,B-6000,Belgium,EMEA,Cartrain,Pascale,Medium,Cartrain Pascale,EXPENSIVE,GOOD,1983.0,,,
10353.0,27.0,100.0,1.0,3515.67,12/4/2004,Shipped,Qui_4,12.0,2004.0,Planes,84.0,S18_2581,Furniture,Bookshelf,Gift Ideas Corp.,2035554407,2440 Pompton St.,Unknown,Glendale,CT,97561,USA,,Lewis,Dan,Medium,Lewis Dan,EXPENSIVE,GOOD,1978.0,,,
10296.0,21.0,45.19,10.0,948.99,9/15/2004,Shipped,Qui_3,9.0,2004.0,Planes,49.0,S72_1253,Accessories,Keyboard,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Unknown,Munich,,80686,Germany,EMEA,Donnermeyer,Michael,Small,Donnermeyer Michael,CHEAP,GOOD,1999.0,,,
10232.0,48.0,95.8,8.0,4598.4,3/20/2004,Shipped,Qui_1,3.0,2004.0,Trains,100.0,S18_3259,Furniture,Desk,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Unknown,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium,Bennett Helen,EXPENSIVE,GOOD,1998.0,,,
10321.0,21.0,89.95,4.0,1888.95,11/4/2004,Shipped,Qui_4,11.0,2004.0,Classic Cars,107.0,S24_3432,Office Supplies,Lamp,FunGiftIdeas.com,5085552555,1785 First Street,Unknown,New Bedford,MA,50553,USA,,Benitez,Violeta,Small,Benitez Violeta,EXPENSIVE,GOOD,1984.0,,,
10204.0,48.0,91.02,11.0,4368.96,12/2/2003,Shipped,Qui_4,12.0,2003.0,Classic Cars,107.0,S24_3432,Office Supplies,Lamp,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Medium,Young Jeff,EXPENSIVE,GOOD,1992.0,,,
10420.0,36.0,63.57,4.0,2288.52,5/29/2005,In Process,Qui_2,5.0,2005.0,Vintage Cars,60.0,S18_2248,Furniture,Desk,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,Huxley Adrian,CHEAP,GOOD,1969.0,,,
10334.0,42.0,100.0,5.0,5528.04,11/19/2004,On Hold,Qui_4,11.0,2004.0,Trucks and Buses,127.0,S24_2300,Office Supplies,Pen,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Unknown,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Medium,Berglund Christina,EXPENSIVE,GOOD,1988.0,,,
10386.0,30.0,95.48,3.0,2864.4,3/1/2005,Resolved,Qui_1,3.0,2005.0,Ships,99.0,S700_3962,Technology,Smart watch,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,Freyre Diego,EXPENSIVE,GOOD,1973.0,,,
10221.0,39.0,89.53,2.0,3491.67,2/18/2004,Shipped,Qui_1,2.0,2004.0,Vintage Cars,87.0,S18_4522,Furniture,Table,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Unknown,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Medium,Dewey Catherine,EXPENSIVE,GOOD,2000.0,,,
10215.0,49.0,100.0,5.0,5285.14,1/29/2004,Shipped,Qui_1,1.0,2004.0,Vintage Cars,104.0,S18_3136,Furniture,Table,West Coast Collectables Co.,3105553722,3675 Furth Circle,Unknown,Burbank,CA,94019,USA,,Thompson,Steve,Medium,Thompson Steve,EXPENSIVE,GOOD,1998.0,,,
10336.0,33.0,57.22,10.0,1888.26,11/20/2004,Shipped,Qui_4,11.0,2004.0,Classic Cars,207.0,S12_1108,Furniture,Chair,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Unknown,Paris,,75012,France,EMEA,Bertrand,Marie,Small,Bertrand Marie,CHEAP,GOOD,1988.0,,,
10197.0,41.0,100.0,13.0,4534.6,11/26/2003,Shipped,Qui_4,11.0,2003.0,Ships,122.0,S24_2011,Office Supplies,Pen,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Unknown,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,Medium,Saavedra Eduardo,EXPENSIVE,GOOD,1966.0,,,
10305.0,38.0,100.0,5.0,4773.18,10/13/2004,Shipped,Qui_4,10.0,2004.0,Trucks and Buses,118.0,S12_4473,Furniture,Cabinet,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Unknown,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,Hernandez Marta,EXPENSIVE,GOOD,1969.0,,,
10245.0,44.0,69.16,5.0,3043.04,5/4/2004,Shipped,Qui_2,5.0,2004.0,Trucks and Buses,64.0,S32_3522,Office Supplies,Lamp,Super Scale Inc.,2035559545,567 North Pendale Street,Unknown,New Haven,CT,97823,USA,,Murphy,Leslie,Medium,Murphy Leslie,EXPENSIVE,GOOD,1979.0,,,
10278.0,29.0,100.0,5.0,3754.05,8/6/2004,Shipped,Qui_3,8.0,2004.0,Classic Cars,142.0,S18_1984,Furniture,Bookshelf,Signal Gift Stores,7025551838,8489 Strong St.,Unknown,Las Vegas,NV,83030,USA,,King,Sue,Medium,King Sue,EXPENSIVE,GOOD,1968.0,,,
10126.0,42.0,54.99,17.0,2309.58,5/28/2003,Shipped,Qui_2,5.0,2003.0,Vintage Cars,53.0,S18_1367,Furniture,Cabinet,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Unknown,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Small,Sommer Mart¡n,CHEAP,GOOD,1967.0,,,
10285.0,45.0,100.0,13.0,5392.8,8/27/2004,Shipped,Qui_3,8.0,2004.0,Planes,118.0,S700_2834,Technology,Desktop,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Unknown,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,Hernandez Marta,EXPENSIVE,GOOD,2000.0,,,
10246.0,46.0,100.0,5.0,5069.66,5/5/2004,Shipped,Qui_2,5.0,2004.0,Trucks and Buses,118.0,S12_4473,Furniture,Cabinet,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,Freyre Diego,EXPENSIVE,GOOD,1980.0,,,
10146.0,29.0,100.0,1.0,4444.54,9/3/2003,Shipped,Qui_3,9.0,2003.0,Classic Cars,148.0,S18_4721,Furniture,Table,Gift Ideas Corp.,2035554407,2440 Pompton St.,Unknown,Glendale,CT,97561,USA,,Lewis,Dan,Medium,Lewis Dan,EXPENSIVE,GOOD,1986.0,,,
10211.0,48.0,48.98,1.0,2351.04,1/15/2004,Shipped,Qui_1,1.0,2004.0,Classic Cars,61.0,S24_3371,Office Supplies,Eraser,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Unknown,Paris,,75016,France,EMEA,Perrier,Dominique,Small,Perrier Dominique,CHEAP,GOOD,1971.0,,,
10182.0,39.0,36.84,6.0,1436.76,11/12/2003,Shipped,Qui_4,11.0,2003.0,Vintage Cars,33.0,S24_1937,Office Supplies,Lamp,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Unknown,San Rafael,CA,97562,USA,,Nelson,Valarie,Small,Nelson Valarie,CHEAP,GOOD,1997.0,,,
10143.0,34.0,85.87,5.0,2919.58,8/10/2003,Shipped,Qui_3,8.0,2003.0,Planes,74.0,S700_4002,Technology,Laptop,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,Unknown,New Bedford,MA,50553,USA,,Tam,Wing C,Small,Tam WingC,EXPENSIVE,GOOD,1986.0,,,
10349.0,48.0,47.4,4.0,2275.2,12/1/2004,Shipped,Qui_4,12.0,2004.0,Classic Cars,57.0,S24_1444,Office Supplies,Pencil,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Small,Young Jeff,CHEAP,GOOD,1972.0,,,
10358.0,20.0,100.0,10.0,2428.0,12/10/2004,Shipped,Qui_4,12.0,2004.0,Classic Cars,163.0,S18_2238,Furniture,Table,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,Freyre Diego,EXPENSIVE,GOOD,1966.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sue,21.0,Chicago
10122.0,42.0,100.0,10.0,7599.9,5/8/2003,Shipped,Qui_2,5.0,2003.0,Classic Cars,194.0,S12_1099,Furniture,Bookshelf,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Unknown,Marseille,,13008,France,EMEA,Lebihan,Laurence,Large,Lebihan Laurence,EXPENSIVE,GOOD,1965.0,,,
10206.0,47.0,100.0,6.0,9064.89,12/5/2003,Shipped,Qui_4,12.0,2003.0,Classic Cars,214.0,S10_1949,Furniture,Desk,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Unknown,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large,Tannamuri Yoshi,EXPENSIVE,GOOD,1979.0,,,
10109.0,29.0,32.1,6.0,930.9,3/10/2003,Shipped,Qui_1,3.0,2003.0,Classic Cars,37.0,S24_2972,Office Supplies,Eraser,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Unknown,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small,Hernandez Rosa,CHEAP,GOOD,1971.0,,,
10267.0,44.0,96.74,4.0,4256.56,7/7/2004,Shipped,Qui_3,7.0,2004.0,Classic Cars,85.0,S24_3191,Office Supplies,Ruler,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,Medium,Young Jeff,EXPENSIVE,GOOD,1990.0,,,
